19:46:21.502877 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 280464:280636, ack 37, win 501, length 172
19:46:21.502922 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 280636:280808, ack 37, win 501, length 172
19:46:21.502963 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 280808:280980, ack 37, win 501, length 172
19:46:21.503004 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 280980:281152, ack 37, win 501, length 172
19:46:21.503045 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 281152:281324, ack 37, win 501, length 172
19:46:21.503089 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 281324:281496, ack 37, win 501, length 172
19:46:21.503132 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 281496:281668, ack 37, win 501, length 172
19:46:21.503178 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 281668:281840, ack 37, win 501, length 172
19:46:21.503220 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 281840:282012, ack 37, win 501, length 172
19:46:21.503261 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 282012:282184, ack 37, win 501, length 172
19:46:21.503302 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 282184:282356, ack 37, win 501, length 172
19:46:21.503343 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 282356:282528, ack 37, win 501, length 172
19:46:21.503398 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 282528:282700, ack 37, win 501, length 172
19:46:21.503440 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 282700:282872, ack 37, win 501, length 172
19:46:21.503484 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 282872:283044, ack 37, win 501, length 172
19:46:21.503525 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 283044:283216, ack 37, win 501, length 172
19:46:21.503565 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 283216:283388, ack 37, win 501, length 172
19:46:21.503606 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 283388:283560, ack 37, win 501, length 172
19:46:21.508713 IP 198.96.87.75.51219 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 37:73, ack 255628, win 512, length 36
19:46:21.508714 IP 198.96.87.75.51219 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 263832, win 488, length 0
19:46:21.508714 IP 198.96.87.75.51219 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 272088, win 455, length 0
19:46:21.508714 IP 198.96.87.75.51219 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 278400, win 431, length 0
19:46:21.508714 IP 198.96.87.75.51219 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 282700, win 414, length 0
19:46:21.508843 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 283560:283732, ack 73, win 501, length 172
19:46:21.509123 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 283732:284512, ack 73, win 501, length 780
19:46:21.509178 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 284512:284684, ack 73, win 501, length 172
19:46:21.509265 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 284684:284856, ack 73, win 501, length 172
19:46:21.509321 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 284856:285028, ack 73, win 501, length 172
19:46:21.509366 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 285028:285200, ack 73, win 501, length 172
19:46:21.509408 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 285200:285372, ack 73, win 501, length 172
19:46:21.509450 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 285372:285544, ack 73, win 501, length 172
19:46:21.509493 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 285544:285716, ack 73, win 501, length 172
19:46:21.509535 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 285716:285888, ack 73, win 501, length 172
19:46:21.509585 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 285888:286060, ack 73, win 501, length 172
19:46:21.509628 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 286060:286232, ack 73, win 501, length 172
19:46:21.509676 IP 198.96.87.75.51219 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 283560, win 411, length 0
19:46:21.509688 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 286232:286404, ack 73, win 501, length 172
19:46:21.509774 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 286404:286696, ack 73, win 501, length 292
19:46:21.509842 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 286696:286868, ack 73, win 501, length 172
19:46:21.509903 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 286868:287040, ack 73, win 501, length 172
19:46:21.509959 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 287040:287212, ack 73, win 501, length 172
19:46:21.510014 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 287212:287384, ack 73, win 501, length 172
19:46:21.510068 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 287384:287556, ack 73, win 501, length 172
19:46:21.510121 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 287556:287728, ack 73, win 501, length 172
19:46:21.510190 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 287728:287900, ack 73, win 501, length 172
19:46:21.510246 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 287900:288072, ack 73, win 501, length 172
19:46:21.510300 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 288072:288244, ack 73, win 501, length 172
19:46:21.510419 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 288244:288416, ack 73, win 501, length 172
19:46:21.510483 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 288416:288588, ack 73, win 501, length 172
19:46:21.510537 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 288588:288760, ack 73, win 501, length 172
19:46:21.510616 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 288760:288932, ack 73, win 501, length 172
19:46:21.510672 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 288932:289104, ack 73, win 501, length 172
19:46:21.510783 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 289104:289276, ack 73, win 501, length 172
19:46:21.510851 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 289276:289448, ack 73, win 501, length 172
19:46:21.510905 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 289448:289620, ack 73, win 501, length 172
19:46:21.510977 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 289620:289792, ack 73, win 501, length 172
19:46:21.511034 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 289792:289964, ack 73, win 501, length 172
19:46:21.511087 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 289964:290136, ack 73, win 501, length 172
19:46:21.511130 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 290136:290308, ack 73, win 501, length 172
19:46:21.511171 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 290308:290480, ack 73, win 501, length 172
19:46:21.511213 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 290480:290652, ack 73, win 501, length 172
19:46:21.511254 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 290652:290824, ack 73, win 501, length 172
19:46:21.511295 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 290824:290996, ack 73, win 501, length 172
19:46:21.511336 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 290996:291168, ack 73, win 501, length 172
19:46:21.511376 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 291168:291340, ack 73, win 501, length 172
19:46:21.511417 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 291340:291512, ack 73, win 501, length 172
19:46:21.511458 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 291512:291684, ack 73, win 501, length 172
19:46:21.511506 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 291684:291856, ack 73, win 501, length 172
19:46:21.511551 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 291856:292028, ack 73, win 501, length 172
19:46:21.511593 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 292028:292200, ack 73, win 501, length 172
19:46:21.511655 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 292200:292372, ack 73, win 501, length 172
19:46:21.511716 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 292372:292544, ack 73, win 501, length 172
19:46:21.511796 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 292544:292716, ack 73, win 501, length 172
19:46:21.511920 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 292716:292888, ack 73, win 501, length 172
19:46:21.512043 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 292888:293060, ack 73, win 501, length 172
19:46:21.512090 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 293060:293232, ack 73, win 501, length 172
19:46:21.512132 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 293232:293404, ack 73, win 501, length 172
19:46:21.512175 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 293404:293576, ack 73, win 501, length 172
19:46:21.512234 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 293576:293748, ack 73, win 501, length 172
19:46:21.512290 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 293748:293920, ack 73, win 501, length 172
19:46:21.512343 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 293920:294092, ack 73, win 501, length 172
19:46:21.512400 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 294092:294264, ack 73, win 501, length 172
19:46:21.512456 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 294264:294436, ack 73, win 501, length 172
19:46:21.512511 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 294436:294608, ack 73, win 501, length 172
19:46:21.512565 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 294608:294780, ack 73, win 501, length 172
19:46:21.512632 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 294780:294952, ack 73, win 501, length 172
19:46:21.512691 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 294952:295124, ack 73, win 501, length 172
19:46:21.512744 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 295124:295296, ack 73, win 501, length 172
19:46:21.512786 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 295296:295468, ack 73, win 501, length 172
19:46:21.512831 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 295468:295640, ack 73, win 501, length 172
19:46:21.512886 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 295640:295812, ack 73, win 501, length 172
19:46:21.512946 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 295812:295984, ack 73, win 501, length 172
19:46:21.513002 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 295984:296156, ack 73, win 501, length 172
19:46:21.513057 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 296156:296328, ack 73, win 501, length 172
19:46:21.513110 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 296328:296500, ack 73, win 501, length 172
19:46:21.513168 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 296500:296672, ack 73, win 501, length 172
19:46:21.513224 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 296672:296844, ack 73, win 501, length 172
19:46:21.513275 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 296844:297016, ack 73, win 501, length 172
19:46:21.513317 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 297016:297188, ack 73, win 501, length 172
19:46:21.513358 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 297188:297360, ack 73, win 501, length 172
19:46:21.513405 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 297360:297532, ack 73, win 501, length 172
19:46:21.513457 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 297532:297704, ack 73, win 501, length 172
19:46:21.513499 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 297704:297876, ack 73, win 501, length 172
19:46:21.513543 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 297876:298048, ack 73, win 501, length 172
19:46:21.513585 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 198.96.87.75.51219: Flags [P.], seq 298048:298220, ack 73, win 501, length 172
